order_id,customer_id,product_id,quantity,total_price,order_date,order_status
ORD-0001,CUST-009,11,3,60000,2025-01-13,completed
ORD-0001,CUST-009,53,2,24000,2025-01-13,completed
ORD-0001,CUST-009,54,5,60000,2025-01-13,completed
ORD-0002,CUST-004,44,4,96000,2025-01-22,completed
ORD-0002,CUST-004,36,3,30000,2025-01-22,completed
ORD-0002,CUST-004,22,4,20000,2025-01-22,completed
ORD-0003,CUST-012,23,3,54000,2025-01-16,completed
ORD-0003,CUST-012,43,5,150000,2025-01-16,completed
ORD-0003,CUST-012,42,5,50000,2025-01-16,completed
ORD-0003,CUST-012,41,1,24000,2025-01-16,completed
ORD-0004,CUST-002,7,5,325000,2025-01-04,completed
ORD-0004,CUST-002,9,3,195000,2025-01-04,completed
ORD-0004,CUST-002,10,2,130000,2025-01-04,completed
ORD-0005,CUST-014,23,2,36000,2024-12-06,completed
ORD-0005,CUST-014,30,3,15000,2024-12-06,completed
ORD-0005,CUST-014,8,1,65000,2024-12-06,completed
ORD-0006,CUST-009,30,1,10000,2024-12-17,completed
ORD-0006,CUST-009,15,1,32000,2024-12-17,completed
ORD-0006,CUST-009,6,1,70000,2024-12-17,completed
ORD-0007,CUST-006,38,5,50000,2024-12-07,completed
ORD-0007,CUST-006,36,1,18000,2024-12-07,completed
ORD-0008,CUST-014,40,2,10000,2025-02-03,completed
ORD-0008,CUST-014,32,3,30000,2025-02-03,completed
ORD-0008,CUST-014,6,3,195000,2025-02-03,completed
ORD-0009,CUST-013,15,4,80000,2025-02-05,completed
ORD-0009,CUST-013,30,5,70000,2025-02-05,completed
ORD-0009,CUST-013,6,4,160000,2025-02-05,completed
ORD-0010,CUST-016,17,5,90000,2025-01-06,completed
ORD-0010,CUST-016,27,3,42000,2025-01-06,completed
ORD-0011,CUST-016,44,5,120000,2025-01-26,completed
ORD-0011,CUST-016,22,2,20000,2025-01-26,completed
ORD-0011,CUST-016,36,5,25000,2025-01-26,completed
ORD-0011,CUST-016,45,1,10000,2025-01-26,completed
ORD-0012,CUST-016,7,3,195000,2025-02-12,completed
ORD-0012,CUST-016,31,1,18000,2025-02-12,completed
ORD-0012,CUST-016,1,4,260000,2025-02-12,completed
ORD-0013,CUST-019,14,1,32000,2024-12-29,completed
ORD-0013,CUST-019,18,2,64000,2024-12-29,completed
ORD-0013,CUST-019,19,2,64000,2024-12-29,completed
ORD-0014,CUST-019,54,5,120000,2025-02-17,completed
ORD-0014,CUST-019,53,3,9000,2025-02-17,completed
ORD-0015,CUST-012,53,1,3000,2025-01-16,completed
ORD-0015,CUST-012,36,3,15000,2025-01-16,completed
ORD-0015,CUST-012,51,2,20000,2025-01-16,completed
ORD-0016,CUST-004,18,2,40000,2024-12-04,completed
ORD-0016,CUST-004,30,5,50000,2024-12-04,completed
ORD-0016,CUST-004,32,2,28000,2024-12-04,completed
ORD-0017,CUST-020,14,4,80000,2024-12-07,completed
ORD-0017,CUST-020,13,2,64000,2024-12-07,completed
ORD-0017,CUST-020,32,2,36000,2024-12-07,completed
ORD-0017,CUST-020,19,4,128000,2024-12-07,completed
ORD-0018,CUST-005,57,2,48000,2024-12-19,completed
ORD-0018,CUST-005,56,5,60000,2024-12-19,completed
ORD-0018,CUST-005,48,3,60000,2024-12-19,completed
ORD-0018,CUST-005,42,5,150000,2024-12-19,completed
ORD-0019,CUST-020,47,7,168000,2025-02-05,completed
ORD-0019,CUST-020,52,6,144000,2025-02-05,completed
ORD-0020,CUST-006,57,3,54000,2024-12-19,completed
ORD-0020,CUST-006,50,6,60000,2024-12-19,completed
ORD-0020,CUST-006,48,5,100000,2024-12-19,completed
ORD-0021,CUST-019,24,1,10000,2025-02-12,completed
ORD-0021,CUST-019,55,3,72000,2025-02-12,completed
ORD-0021,CUST-019,56,3,72000,2025-02-12,completed
ORD-0021,CUST-019,51,1,30000,2025-02-12,completed
ORD-0021,CUST-019,15,2,40000,2025-02-12,completed
ORD-0022,CUST-020,34,1,18000,2025-01-18,completed
ORD-0022,CUST-020,18,3,96000,2025-01-18,completed
ORD-0023,CUST-013,37,2,10000,2025-01-13,completed
ORD-0023,CUST-013,21,1,10000,2025-01-13,completed
ORD-0023,CUST-013,34,3,15000,2025-01-13,completed
ORD-0024,CUST-004,34,3,42000,2024-12-03,completed
ORD-0024,CUST-004,35,3,42000,2024-12-03,completed
