id,name,category_id,category_name,product_type,selling_price,quantity_info,shelf_life_days,total_stock,description,is_active,created_at
7a4af2f2-f55b-4300-a4ba-4406efcc350c,Udang sedang 1,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,65000,1 kg,3,50,Udang sedang 1 segar berkualitas tinggi,True,2025-10-21 20:57:07
b3cc44f1-f3c1-4703-98d8-ac40cb387187,Udang sedang 2,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,70000,1 kg,3,45,Udang sedang 2 segar berkualitas tinggi,True,2025-10-11 20:57:07
70710b93-2b14-4674-a243-b919d6002c48,Udang besar,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,85000,1 kg,3,30,Udang besar segar berkualitas tinggi,True,2025-10-21 20:57:07
f3093aaa-5474-468c-9b8d-9ef9a28956b9,Udang kecil,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,40000,1 kg,3,60,Udang kecil segar berkualitas tinggi,True,2025-11-04 20:57:07
457afb33-6e9d-4ad9-9f4c-b52be26e5f18,Cumi,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,65000,1 kg,2,35,Cumi segar berkualitas tinggi,True,2025-11-15 20:57:07
0dca8dc1-02c9-4543-b856-b95d8bc5486c,Ikan kembung,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,35000,1 kg,2,40,Ikan kembung segar berkualitas tinggi,True,2025-09-04 20:57:07
523853a9-14ec-4b71-8ea1-d85e92f1b94c,Ayam filet 500g,660e8400-e29b-41d4-a716-446655440002,Protein Daging,online,45000,500 g,5,70,Ayam filet 500g segar berkualitas tinggi,True,2025-10-04 20:57:07
17ad20c4-a240-4058-b0d7-6bf0159238eb,Ayam potong segar,660e8400-e29b-41d4-a716-446655440002,Protein Daging,online,38000,1 kg,5,80,Ayam potong segar segar berkualitas tinggi,True,2025-11-05 20:57:07
a0ab615e-653c-4623-96d5-7bc0121b23ee,Ayam kampung utuh,660e8400-e29b-41d4-a716-446655440002,Protein Daging,online,95000,1 ekor,5,25,Ayam kampung utuh segar berkualitas tinggi,True,2025-09-22 20:57:07
9932efc2-6bf0-43a3-a3a9-22be92df3e72,Ayam ras all part,660e8400-e29b-41d4-a716-446655440002,Protein Daging,online,42000,1 kg,5,60,Ayam ras all part segar berkualitas tinggi,True,2025-11-26 20:57:07
