id,name,category_id,category_name,product_type,selling_price,quantity_info,shelf_life_days,total_stock,description,is_active,created_at
652976b6-d373-4ece-848a-e9f596f9cb9a,Udang kecil,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,38266,kg,3,63,Udang kecil berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-17 10:57:17
9159372c-cd09-49a3-81ac-1991eeac17cc,Udang sedang,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,65912,kg,3,89,Udang sedang berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-11-20 10:57:17
0902ba30-05f9-4657-b09d-49d46f1392f6,Udang besar,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,81861,kg,3,87,Udang besar berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-21 10:57:17
967c8ccf-040a-4118-831c-541039c442c4,Udang jumbo,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,114850,kg,3,50,Udang jumbo berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-11-18 10:57:17
0d39adf3-62d6-481c-bd44-74debfce0964,Udang kecil Lokal,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,40092,kg,3,55,Udang kecil Lokal berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-28 10:57:17
5cc9ec0c-3e49-4ab4-81d3-c0125f367e89,Udang sedang fresh,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,67613,kg,3,24,Udang sedang fresh berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-30 10:57:17
5706490a-f29a-48fc-ad3c-d55862de7d0c,Udang besar super,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,100765,kg,3,52,Udang besar super berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-19 10:57:17
970c2958-670a-4538-b658-e551971dec1a,Udang jumbo Sumatera,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,108987,kg,3,40,Udang jumbo Sumatera berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-11-01 10:57:17
52fb2fac-fbe1-449b-9a3a-332e1d43b650,Udang kecil beku,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,40204,kg,3,71,Udang kecil beku berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-07 10:57:17
b2e4fdc3-4ed8-4552-9c15-edffc84bedbe,Udang sedang premium,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,77415,kg,3,91,Udang sedang premium berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-11-25 10:57:17
05c08d9a-10a4-419f-a5a5-dedd5b6ade8c,Udang besar Sulawesi,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,84254,kg,3,36,Udang besar Sulawesi berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-11-07 10:57:17
debe56d1-c637-4f0b-8934-7642d3d16172,Udang jumbo segar pagi,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,105720,kg,3,24,Udang jumbo segar pagi berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-18 10:57:17
a257552a-fa73-4267-b829-459dfa7d68c6,Udang kecil super,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,45823,kg,3,74,Udang kecil super berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-21 10:57:17
aa06bc7a-8f4e-4091-ba47-1a3507f3ab9f,Cumi kecil,660e8400-e29b-41d4-a716-446655440001,Protein Laut,online,49964,kg,2,84,Cumi kecil berkualitas tinggi untuk kebutuhan dapur Anda,True,2025-10-12 10:57:17
